Phone,VMailMessage,DayMins,EveMins,NightMins,IntlMins,CustServCalls,DayCalls,EveCalls,NightCalls,IntlCalls,AccountLength,IntlPlan
397-6255,0,216.2,215.6,138.4,10.2,0,107,84,127,3,100,0
381-5047,0,76.4,115.6,226.3,9.4,3,116,74,94,3,104,0
403-6850,0,72.7,208.6,65.8,9.9,1,75,117,71,3,27,0
375-3658,31,210.4,225.5,168.7,9.7,0,100,97,120,4,81,0
341-2603,33,127.2,162.9,247.4,8.1,0,93,104,109,13,64,1
342-5062,28,201.8,304.9,225.6,11.9,1,79,128,133,8,107,0
354-1558,17,219.5,222.1,188.3,16.1,1,78,94,92,5,88,0
351-9537,0,99.3,270.5,225.3,9,3,112,136,94,6,111,0
401-1252,0,239.2,150,160.8,10.3,5,114,115,81,2,77,0
366-9538,0,120.9,235,95.1,11.4,2,58,88,130,11,67,1
364-7622,0,224.7,129.4,167.6,15.8,1,81,112,109,6,102,0
393-9918,19,176.6,162.7,215.5,14.6,1,88,66,98,6,146,0
376-4484,51,283.9,192,196.3,10,1,98,109,85,4,144,0
410-6791,0,180.6,190.9,295.6,10.3,1,92,114,125,4,96,0
343-2392,31,125.9,196.4,252.7,10.3,1,101,102,75,4,70,0
408-4323,0,237.6,192.4,207.4,9.1,0,79,107,111,9,149,0
395-1718,0,198.4,264.7,111.4,9.2,2,91,106,101,2,129,0
354-9492,0,274.3,52.9,246.1,10.9,0,110,109,119,5,166,0
367-8168,0,199.6,211.4,72.4,11,3,89,96,84,4,136,1
340-3500,0,217.7,273.5,226.9,9.6,3,91,74,99,3,149,0
369-4962,0,134.7,235.9,260.2,7.6,3,96,90,113,6,70,0
334-8967,24,212.7,257.5,227.8,9.7,2,73,103,119,13,120,0
402-2377,0,256.3,180.2,187.3,6.2,2,135,106,135,7,66,0
366-3917,0,183.6,120.7,215.1,12.7,1,133,98,112,2,104,0
333-3531,0,176.2,196,263.9,9.2,1,90,115,95,4,160,0
333-8954,37,205,165.4,185,11.7,1,94,103,81,8,129,0
374-9203,0,267.9,223,262.7,11.3,3,114,74,90,3,93,0
334-3289,0,179.2,175.2,228.6,9.9,2,111,130,92,6,169,0
353-7822,0,149.4,196.5,209.5,14.9,1,145,105,108,3,58,0
350-1422,38,163.6,146.7,345.8,13.1,3,132,113,115,3,75,0
385-8406,0,207.6,152.7,217.8,12.4,1,71,94,125,13,45,0
380-7277,0,165.4,183.7,80.2,8.9,3,108,103,108,4,155,0
352-1798,0,209.8,171.3,154.6,9.9,4,114,82,119,9,52,0
385-7922,27,220.1,268.2,146.5,11.1,0,128,133,80,3,119,0
353-7730,0,141.3,154.3,210.6,8.2,1,72,95,91,5,86,0
337-7163,0,196.5,241.3,143.2,4,0,89,123,105,7,42,0
348-5567,0,180.9,209.5,249.9,7.4,2,114,118,105,4,127,1
420-9575,0,105,251.6,258,14.9,0,150,90,93,5,123,0
366-3358,0,271.4,190.4,284.7,11.1,4,119,102,118,6,98,0
359-9972,43,206.7,174.6,241.5,10.9,1,79,122,80,3,149,0
387-3332,0,166.8,236,307.6,9.3,1,109,117,77,1,160,0
354-6960,0,204.9,135.2,208.2,10.4,5,107,102,106,3,103,0
405-3335,15,154.6,245.6,148.6,9.1,1,128,106,90,4,132,0
379-4257,0,127,323.2,143.9,7.5,1,107,75,127,2,137,0
355-4992,0,267.4,204.2,111.7,5.9,1,78,85,146,4,129,1
383-6373,0,281,160.6,77.9,0,1,66,108,74,0,62,0
382-7993,33,270.8,220.4,169.9,11.8,4,96,110,104,8,122,0
422-5865,0,171.2,185.6,203.3,10.2,1,82,102,64,7,32,0
410-9961,0,124.1,202.6,289.6,6.7,3,82,120,119,8,86,0
343-9946,0,162.8,290.3,114.9,7.2,1,113,111,140,3,130,0
357-7060,0,146.3,255.9,45,8,1,84,113,117,12,42,0
355-9541,0,254.8,143.4,153.9,15,2,85,80,102,7,73,0
378-4145,26,254.9,243.2,190.8,5.4,2,108,135,95,3,66,0
386-2317,31,107.7,188.9,196.2,8.9,0,124,104,98,3,103,0
335-8146,0,158.8,264.8,270,7.6,1,75,91,77,7,128,0
377-2235,0,182.9,239.6,229.8,5.5,2,113,85,104,4,104,0
386-9141,0,198.5,42.5,179.2,12.4,0,112,90,124,5,103,0
416-5623,0,178.4,233.6,179.4,12,0,72,134,91,2,124,0
327-3053,0,110.9,158.5,207.5,6.2,1,91,115,131,5,87,0
395-6195,27,166.9,221.2,197.3,12.3,1,85,92,97,4,109,0
397-8772,0,244.8,60.8,176.7,10.7,2,91,105,110,3,167,1
346-7656,0,120.8,169.8,194.1,11.9,4,96,101,63,3,97,0
343-2350,0,165.3,210,187.2,8.5,2,118,101,93,3,106,0
372-4722,0,126.7,155.5,206.2,14.4,2,113,131,112,7,125,0
399-8615,35,215.9,200.6,195.4,15.5,0,106,107,107,7,108,0
379-8248,0,140.1,209.6,264.1,8,1,132,126,77,2,125,0
414-6219,32,209.9,249.8,224.2,8.7,1,113,104,92,7,89,0
387-1343,29,139.8,138.2,221,5.5,0,114,91,88,6,72,1
370-5527,0,321.6,251.6,141.1,11.3,2,107,115,158,3,23,0
393-8736,0,166.6,218.8,208.3,8.2,7,61,107,131,6,149,0
402-7626,0,214.2,196.8,157.9,5.9,0,90,78,112,8,73,0
370-2688,0,260,210.5,234.7,9,1,123,127,70,3,61,0
418-9036,0,191.9,70.9,204.8,13.4,4,113,87,107,4,161,0
417-2035,0,213,188.8,136.2,13.5,0,95,104,89,3,73,0
355-3602,24,118.1,109.6,245.5,16.9,1,83,72,73,2,118,0
393-4027,0,190.2,166.4,219.8,15,6,89,108,73,4,23,0
418-5141,25,82.2,163.3,264.9,5.1,0,95,109,104,6,127,0
406-1247,32,163.8,177.8,190.4,8.1,0,80,123,106,5,42,0
402-3892,0,267.8,316.4,208.6,14.4,5,145,121,91,11,118,0
332-2965,0,159.8,120.4,163,10.6,2,91,86,93,3,45,0
377-1218,24,214.3,289.8,312.5,10.6,1,129,55,130,4,50,0
355-2464,0,287.3,288,266,10.5,0,123,114,112,4,179,0
404-4611,0,101.2,141.6,198.5,7.5,2,122,87,124,3,152,0
373-2339,0,102.8,281.7,228.1,13.2,2,74,125,113,5,105,0
410-3503,0,109.1,115.7,295.8,8.3,0,97,96,84,6,72,0
410-4739,0,215.9,217,342.8,5.2,1,67,108,130,2,52,0
365-3562,0,203.4,128.7,190.5,11,1,110,97,113,4,125,0
387-7641,0,110.1,169,166.7,9.2,1,113,59,94,2,143,0
385-9744,0,111,219.8,202,4.4,1,51,84,89,14,65,0
398-5006,0,239.9,142.3,364.3,9.3,1,121,51,106,5,80,0
408-3977,0,144.8,112.5,218.7,13.8,1,107,66,79,3,1,0
334-2729,0,135.4,205.9,204,7.9,1,134,85,103,4,60,0
334-7685,0,84.2,80.8,196.1,10.8,1,134,103,79,2,43,0
350-9228,0,209.1,106.1,179.6,14,0,127,80,90,6,143,0
407-5774,24,130.1,196,139.3,11.4,0,117,61,123,5,81,0
413-4039,24,175.8,155,180.7,7.8,2,139,98,64,5,205,0
343-2077,0,241.9,145.2,214.5,6.6,1,104,112,105,5,24,0
336-5661,0,136.7,228.6,265.3,9.8,0,106,105,114,4,74,0
355-4143,0,67.7,195.7,236.5,12,1,68,86,137,2,77,0
366-5918,0,200.4,309.2,152.1,10,1,87,105,118,2,74,0
368-7555,0,125.8,207.7,207.4,14.1,1,103,96,143,4,74,1
408-2119,0,128.2,133.2,177.6,11.2,1,87,105,123,2,200,0
329-2789,0,226.3,223,255.6,13,4,88,107,92,3,86,0
334-1508,37,162.3,233.9,277.4,9.2,0,107,115,94,4,91,0
337-1506,0,224.4,147.9,183.8,6.7,2,121,97,74,2,76,0
396-8400,0,120.5,189.7,270.1,14.3,1,127,52,107,2,130,0
349-2654,0,91.1,179.3,300.7,11.9,2,90,115,89,8,56,0
417-2716,0,168.8,241.4,204.8,15.5,0,137,107,106,4,117,0
402-1725,0,153.5,287.3,230.2,6.5,2,81,115,85,5,63,0
403-3229,0,226.2,140.3,208.9,6.4,0,88,114,110,2,126,0
353-6056,0,191.9,206.9,272,12.6,1,107,127,88,2,132,0
399-9802,28,167.9,190.7,193,9.2,4,147,105,103,6,81,0
366-7069,0,180,145,233.7,11.5,2,88,77,120,6,122,0
332-5949,0,257.4,261.1,204.4,13.4,2,67,91,107,5,46,0
393-6376,28,174.4,169.9,201.6,11,1,75,80,130,4,150,0
354-7025,0,159.7,155.4,255.7,8.4,1,83,121,114,3,99,0
351-6585,0,237.2,222.6,173.3,11,1,124,87,81,3,87,0
330-5462,0,103,242.3,170.2,7.9,1,129,103,89,3,108,0
407-2292,0,153.8,234,196.3,11.6,4,89,89,77,2,101,0
340-3011,0,205.1,160.5,149.5,10.7,3,86,95,142,2,53,0
345-9153,39,175.7,187.2,225.5,8.6,2,93,94,118,3,132,0
379-5503,0,155.9,224.2,221,8.6,2,123,112,116,8,158,0
389-6790,34,154.4,221.4,208.5,10.3,0,109,142,103,5,114,0
408-3610,23,209.7,183.6,205.5,7.1,2,73,63,111,3,77,0
375-8238,0,150,285.9,190.6,9.4,0,69,73,121,15,144,1
378-5633,23,232.4,186,190.5,12.3,3,97,88,128,3,91,0
389-9120,0,165.4,115.7,193.8,12.8,2,100,87,118,5,58,0
380-2758,0,199.2,187.3,214,13.3,3,106,12,85,3,5,0
402-2728,0,217.6,320.5,150.7,4.2,0,81,51,110,3,97,0
354-9062,0,212.1,150.1,219.8,7.7,3,95,88,111,2,107,0
417-2054,30,154,165.8,270,10.8,1,75,97,83,5,142,0
353-1941,31,193.8,202.6,191.2,13.3,1,130,98,102,2,9,0
328-1522,0,175.4,248.1,122.4,12.2,0,130,105,85,4,73,0
408-4529,22,152,258.8,263.2,15.7,2,63,131,109,5,48,0
417-5320,0,230.2,186.7,128.4,9.2,0,147,121,100,3,43,0
370-9755,33,174.9,248.2,164.6,13.5,1,103,105,116,3,122,0
372-4835,0,190.2,262.2,130,8.8,0,68,64,92,4,93,0
334-6605,0,176.4,224.9,219.6,11.5,1,122,123,50,1,85,0
399-5564,0,160.9,251.2,273.4,5,3,95,65,97,5,59,0
392-2887,0,228.7,163,154.1,11.8,1,90,99,90,3,87,0
328-2110,0,144,181.6,128.1,12.3,0,90,100,93,2,137,0
383-5976,31,135.9,271,179.1,9.5,6,90,84,89,7,21,0
332-6181,0,334.3,192.1,191,10.4,0,118,104,83,6,129,0
330-5255,0,130.5,131.2,264.7,13,0,77,117,63,6,104,0
413-5190,21,134.2,162.5,186.6,11.8,4,105,128,90,2,93,0
394-7447,0,278,266.4,224.1,13.1,4,102,114,118,4,63,0
353-7096,0,105.4,214.8,223.6,7.8,0,70,122,126,5,161,0
395-6002,0,188.9,203.9,151.8,11.6,3,94,104,124,8,50,0
372-9816,24,111.8,239.6,268.3,6.9,1,85,102,81,4,103,0
400-7253,33,159.1,149.8,213.4,13,1,106,101,108,18,84,0
344-7470,0,212.4,224.6,221.3,9,1,105,118,105,4,92,0
378-8572,0,142.3,306.3,196.5,9.9,1,112,111,82,1,77,0
345-9140,0,346.8,249.5,275.4,13.3,1,55,79,102,9,64,1
340-5460,15,113.9,145.3,195.2,11.8,1,102,146,137,9,159,0
369-8024,27,267.9,263.3,178.1,8.3,1,103,74,106,2,110,1
395-8595,0,171.4,115.2,224.5,17,3,117,128,115,4,138,0
359-4587,0,275.4,187.5,147.1,13.6,1,150,62,126,3,178,0
375-5439,31,197.2,249.9,298.9,3.9,0,118,70,104,2,38,0
361-3779,35,192.6,135.2,216.2,7.9,2,97,101,101,2,50,0
375-8934,26,91.7,150.6,63.3,7.7,1,104,119,103,5,45,0
395-4757,0,126.3,141.6,255.9,9.6,0,99,106,96,2,70,0
421-7205,33,251.5,234.1,213.4,10.4,3,107,110,87,6,147,0
379-8805,0,190.6,152.3,144.7,7.5,1,108,95,97,5,94,0
348-2150,0,116.1,201.8,181.9,11.6,0,101,99,103,5,179,0
417-9128,0,217.3,216.1,148.1,11.3,2,91,95,76,3,116,0
351-4226,0,179.4,232.5,175.8,14.7,0,80,99,105,3,59,0
330-6630,0,207.7,164.8,54.5,7.9,0,109,94,91,3,165,0
387-9137,0,277.3,228.4,117.3,12.8,2,138,117,103,4,133,0
372-3987,0,125.3,167.6,260.6,8.4,1,84,121,94,4,140,0
408-5183,32,138.1,167.3,238.9,6.8,2,91,72,115,3,93,0
412-9357,38,169.3,225.9,172,8.2,0,88,97,86,3,52,0
402-3599,27,201.3,143.8,150.2,12.3,1,101,89,127,3,64,0
379-5211,0,216.7,116.5,220,9.8,2,117,126,110,4,12,1
405-9217,0,190.4,317.5,133.4,8.3,2,92,85,113,4,48,0
340-9200,0,143.3,195.5,223.3,6,1,91,58,95,7,181,0
339-9026,42,97.4,203.6,173.9,11.4,2,57,98,124,2,168,0
343-4772,0,181.4,167.7,168.5,11.3,3,111,92,122,3,155,0
345-2108,0,246.4,256.2,169,3.8,0,83,101,151,4,105,0
401-4650,0,143.4,289.4,194,9.7,2,130,50,100,6,11,0
400-3945,0,104.9,198.5,258.2,8,2,111,120,91,5,182,0
338-3781,0,156.2,193,222.7,13.1,1,93,54,94,5,104,0
342-6316,0,114.8,81.9,304.3,12,0,125,126,101,4,102,0
336-5920,0,232.5,205.5,213.7,11.9,0,96,120,91,2,122,0
332-1060,0,143.6,152.4,194.4,8.6,1,117,108,110,3,41,0
418-3426,0,176.7,244.1,176.3,9.1,2,132,80,120,4,132,0
408-6326,0,263.4,230.3,170.6,11.4,1,148,69,101,5,76,0
334-6142,0,146.4,148.5,216.7,11.3,1,74,92,96,3,13,0
336-6128,33,145,194.5,242.3,14.2,2,72,157,138,3,115,0
406-6708,0,167.8,167.7,110.3,8.4,1,91,69,71,12,67,0
388-8670,0,166.9,154.9,189.4,7.2,0,99,97,89,5,154,0
363-5853,0,142.5,195.7,122.1,7.8,2,87,88,117,8,100,0
383-6544,0,133,262.8,214.3,11.2,1,65,93,128,3,146,1
378-2940,11,252.9,284.3,262.8,12.3,1,129,88,99,1,148,0
338-7683,28,95,291.2,159.6,10,2,94,73,114,2,67,0
329-2786,0,194.2,249.4,254.9,12.9,1,106,105,129,1,161,1
369-9465,0,222.8,215.9,223.5,0,1,114,113,122,0,70,0
337-3769,0,201.8,231.5,226.1,16.5,0,82,95,130,5,116,0
400-6257,42,216,232.3,215.5,9.3,2,125,104,100,4,99,0
411-6663,0,146.3,171.8,167.5,5.3,1,108,102,66,9,87,0
384-3101,0,234.8,140.9,204.3,9.5,1,85,91,93,5,87,0
339-5329,0,198.6,213.9,171.2,10.6,2,111,115,105,6,70,0
388-9944,0,94.4,215.1,179.7,13.1,2,80,101,108,9,131,0
403-1769,0,190.4,215.6,161.2,10,2,74,113,111,1,119,0
390-1612,32,142.6,208.2,171,12,3,77,126,102,2,119,0
421-7214,0,134.2,165,173.1,10.7,0,80,71,102,5,87,1
338-6962,0,111.9,114,146.8,14.1,5,92,143,79,3,112,0
333-9826,0,122.8,211.3,261.4,10.7,2,89,104,91,2,75,0
411-8549,0,189.3,220.9,238.7,9.2,4,77,105,117,5,150,0
381-9234,38,240.4,201.8,206.1,16.1,0,112,102,112,6,161,0
387-9855,24,93.5,183.4,240.7,9.9,0,112,128,133,3,91,1
371-6990,0,158.6,211.2,179.3,10.2,3,104,77,104,8,124,0
417-3046,0,243.2,147,94.9,7.2,4,109,88,99,4,94,1
385-7082,0,176.4,158.8,306.6,9.3,4,115,128,107,3,217,0
365-5886,0,220.9,242.2,233.3,6.4,0,129,108,75,5,158,0
373-5196,0,144.4,266.5,217.6,7.1,0,87,128,59,7,102,0
327-6194,0,212.3,228.4,163.3,7.7,0,107,103,116,3,85,0
381-4565,0,147,165.7,243.2,8.4,1,72,102,107,9,79,0
357-9832,25,96.2,178.9,182.1,12.9,2,112,70,84,10,139,0
396-4845,0,263.4,179.1,214.7,10.3,0,118,69,112,2,103,0
378-6772,0,12.5,256.6,169.4,7.7,1,67,90,88,9,98,1
353-4296,0,162.3,192.4,240.6,10.1,2,116,86,100,3,78,0
362-8331,0,183.6,58.6,202.6,8.7,1,107,118,99,3,50,0
362-4685,0,178.1,146.5,137.6,8.5,1,109,86,78,2,161,0
383-1431,0,201.4,97.6,202.5,7,0,101,122,119,3,67,0
332-2258,38,123,133.9,138.2,13.3,1,158,119,103,4,86,0
375-8304,0,208,198.9,76.4,8.6,0,125,76,97,6,92,0
340-5580,0,239.2,188.5,105.6,8.8,1,72,124,116,3,174,0
362-1490,0,193,89.8,172.8,15.3,1,97,99,104,3,124,0
336-4281,31,174.5,245.6,172.8,10.3,1,101,105,76,9,132,0
361-1315,26,116.7,145.9,175.1,9.9,1,71,88,103,3,190,0
342-5906,0,93.8,150,241.1,10.7,1,127,104,116,2,101,0
405-7904,30,154.1,118.7,258.4,12.9,2,114,106,105,3,185,1
349-4762,29,239.5,203.8,167.8,9.9,0,82,105,70,6,68,0
385-3263,25,216,224.1,267.9,11.8,0,140,69,112,4,117,0
405-9496,0,187.4,177.8,233.4,12.2,1,97,89,97,6,118,0
396-6775,0,167.4,233.2,109.6,10.3,0,119,143,115,5,124,0
393-6475,0,160.4,218.1,192.9,12.5,1,108,88,115,4,22,0
379-7779,0,143.2,209.1,173,11.9,1,92,142,96,9,75,0
408-8650,0,205.3,240.5,179.1,5,1,122,155,107,9,134,0
400-3497,25,219.1,151.5,50.1,14.3,1,88,99,60,6,164,0
407-9244,0,143.2,169.8,215.8,7.6,1,77,114,77,4,44,0
406-8809,0,232.8,175.2,212.2,12.5,2,106,97,77,7,177,0
358-1778,0,162,247.5,155.5,8.9,0,81,89,99,8,110,0
337-4339,27,25.9,206.5,228.1,6.5,1,119,96,64,7,53,0
344-7197,0,154.2,112.3,246.4,15.4,4,123,86,75,4,108,0
333-7631,0,322.3,222,162.8,6.7,0,113,95,123,8,80,0
372-6623,0,209.9,221.3,210,8.2,1,112,82,93,3,158,0
363-2602,0,191.5,175.2,220.3,0,0,88,78,118,0,114,0
387-7757,19,291.1,226.7,219.1,7.5,1,150,123,67,2,64,0
397-5381,0,215.6,216.2,171.3,11.8,3,115,85,65,1,88,0
406-4604,0,208.8,213.7,175.1,12.4,3,101,87,86,6,82,1
376-9513,0,255.9,204.1,171.3,12.3,3,97,129,84,5,111,0
360-1852,0,252.7,221.1,109.9,12.4,2,97,121,100,4,60,0
421-7270,0,132.1,247.5,246.2,6.9,3,72,107,123,6,113,0
371-9482,0,217,207,268,8.2,1,115,142,106,4,109,0
337-4101,42,101.9,223.1,241.6,12.9,0,79,97,77,2,105,0
420-2796,0,211.5,184.6,164.3,13.3,2,100,88,131,4,85,0
366-4225,0,153.4,198.5,164.4,10.4,0,86,81,83,3,131,0
398-4567,0,166.3,239.3,123.2,10,2,95,87,108,3,59,0
388-4571,0,185.2,170.4,165.1,9.5,1,87,96,104,13,148,0
360-8666,0,104.6,149.5,255.1,6.5,2,121,71,67,8,210,0
333-3704,0,245.2,159,229.9,7.2,0,105,109,74,8,115,0
383-2566,0,274.4,198.6,160.8,6,1,120,82,62,3,106,0
406-5584,0,98.4,249.6,248.2,14.2,1,78,129,114,4,93,0
344-4691,29,279.9,223.1,251.7,13,1,121,109,94,2,57,0
347-9737,0,187.2,195.6,181.8,5.1,1,127,88,129,4,98,0
333-7961,0,276.2,165.8,151.6,2.2,3,95,119,79,4,157,0
364-2439,35,200.4,272.8,214.5,8.3,1,104,89,100,4,116,0
411-8043,0,162.3,244,180.1,9.1,2,96,122,89,4,30,0
332-5084,0,176.9,102.8,213.7,10.5,4,128,56,84,2,111,0
413-4831,0,165.5,205.5,213.6,12.2,0,78,89,124,6,52,0
343-4806,0,217.8,189.7,182.6,10.4,4,93,113,91,5,72,0
401-8735,28,201.4,246.5,154.8,12.9,2,100,117,131,4,135,0
391-8626,0,190.5,179.6,258.5,10.1,3,115,130,89,5,86,0
327-5817,29,179.9,189.2,164.3,12.8,3,97,89,76,7,98,0
381-4712,0,235.9,80.6,212.8,5.8,3,104,91,116,2,151,0
335-3320,0,140.4,187.1,207.9,7.9,0,112,60,155,1,118,0
415-8780,0,144.6,258.8,253.2,7.4,2,115,66,113,9,117,0
362-1146,0,189,118.5,248.1,17.1,0,100,99,87,6,55,0
352-7413,0,101,155.6,304.4,13.3,0,93,104,93,2,82,0
387-6716,0,206.3,292.8,43.7,10.6,1,98,82,121,4,152,0
352-1127,15,165.1,267,250.7,10.9,1,85,93,114,4,108,0
368-1288,0,165,202.6,172.3,12.5,1,129,113,94,7,98,0
403-5279,0,155.9,256.1,262.9,11.7,3,95,97,103,3,130,0
397-9333,0,199.2,214.7,150.9,11.8,1,122,114,105,7,136,1
411-7353,0,155.3,188.2,247,12.3,3,116,85,73,4,47,0
383-2537,0,208.3,236.7,179.1,11.3,3,106,123,120,5,189,0
330-4419,0,157.1,162.6,150,12.1,1,79,124,138,6,107,0
390-7930,0,154.4,168.3,239.9,11.7,5,165,121,81,4,91,0
362-5111,0,189.1,246.1,242,10.4,1,105,147,106,5,159,0
358-6796,24,131.5,230.2,283.7,10,2,98,111,87,3,11,0
409-7494,0,166.4,243.2,229.2,9.9,1,85,135,95,5,167,0
400-1636,0,142.3,122.8,229.5,12.8,2,75,106,94,9,111,0
389-2747,19,87.7,223,182.3,7.3,2,103,86,112,4,99,0
415-2176,19,184.1,194.5,225.6,16.9,0,78,71,101,3,159,0
377-8067,31,174.5,224.2,116.3,12.3,2,104,92,91,10,114,1
362-7835,0,103.3,138.5,164.8,9,2,103,79,98,2,71,0
361-5225,0,35.1,180.8,251.6,12.7,1,62,89,58,2,122,0
333-3447,25,246.6,141.4,189.8,13,1,94,112,109,5,100,0
341-3044,37,78.5,210.5,179.7,11.8,1,109,101,102,4,83,0
350-7306,0,148.1,164.9,216,12.3,5,73,101,125,2,64,0
353-8849,0,206.2,256.4,117.1,9,1,84,138,91,3,105,0
402-3476,33,251.6,197.6,209.2,12.2,2,87,118,97,3,144,0
338-6018,26,270.3,215.2,254,14.4,1,111,90,133,7,106,1
409-3520,34,156.6,224.2,260.9,11.3,1,97,97,135,1,19,0
357-1085,0,139.4,223.7,173.1,13.6,1,81,113,77,6,46,0
353-3285,0,220.2,188.4,172.7,11.7,2,108,124,113,3,127,0
409-9885,39,214.1,169.2,189.7,10.1,1,108,115,117,3,9,0
388-7701,0,196,213.4,196.8,7.9,1,74,96,81,6,157,0
385-8184,0,106.4,240.1,147.7,5.3,6,71,83,114,4,105,0
345-2863,29,179.4,275.4,246.1,10,0,113,100,105,5,105,0
353-6300,0,216.7,144.3,135.3,10.8,2,30,125,106,1,155,0
389-5649,0,177.3,152.8,162.9,5.1,0,129,105,92,2,31,0
378-8137,0,151.6,219.4,224.7,4,1,117,87,68,5,161,0
340-4627,32,262.2,165.2,194.3,10.6,0,123,82,57,5,95,0
352-6833,0,173.6,91.7,211.7,9.7,3,110,84,103,7,122,0
420-2000,0,106.6,147.4,235.8,9.6,2,76,89,113,8,37,1
368-5437,0,193.3,128.3,162.1,11.6,5,106,94,119,4,132,0
418-8170,24,217.2,138.7,139.3,11.3,0,94,52,85,4,119,0
403-9417,0,209.5,172.8,94.1,8.8,1,89,85,102,4,16,0
330-6165,0,95.4,207.2,136,5.6,1,105,101,117,5,99,0
412-4185,26,214.6,205.2,134.6,8.1,1,110,87,140,2,76,0
409-4734,0,131.6,211.3,168.3,11.1,4,120,96,97,4,167,0
348-9828,0,168.4,217.1,81.6,11.8,1,117,129,100,7,129,0
418-8850,0,146.4,176.6,212.6,7.8,1,123,113,102,5,116,0
330-8351,0,183,206.7,203.8,11.1,1,110,93,119,6,60,1
347-7773,0,103.3,245.9,161.1,6.4,0,122,123,95,7,128,0
392-6841,28,112.2,154.8,166.7,10.6,0,70,106,105,2,47,0
354-2189,0,170.7,179.1,281.9,8.2,3,55,108,89,9,40,1
349-9060,0,172.5,142.6,102,10.9,0,78,91,63,2,173,0
334-1311,30,194.3,243.2,322.2,7.1,1,107,108,114,5,157,0
415-3120,32,187.8,129.8,132.3,12,2,117,90,113,3,66,0
387-5891,26,307.1,289.4,174.9,8,0,94,78,109,3,50,1
368-8026,0,118.2,167.2,214.2,12.2,3,106,136,106,3,72,0
332-9446,0,154,205.9,233.7,12.9,1,95,106,75,1,130,0
393-5284,0,155.5,213.4,237.9,7.6,1,101,89,61,11,143,0
376-1677,0,125.6,213,181.7,5.4,1,108,90,108,5,89,1
392-2268,0,199.3,224.2,140.1,15.2,0,104,92,57,2,108,0
396-4311,0,157.9,180.8,132.5,12.8,1,88,132,102,3,32,0
363-4005,0,203.4,167.7,132,9.2,2,81,110,124,5,166,0
344-9966,0,222.2,218.5,266,10.9,1,113,122,88,5,109,0
337-7377,39,92.8,271.2,167.1,5.8,1,98,115,83,7,72,0
373-7037,32,216.8,102.2,174,8.6,0,78,111,83,2,134,0
356-7580,0,193.2,194.4,186.5,9.7,4,89,90,104,2,13,0
390-3401,0,113.2,189.3,271.8,14.1,3,108,63,124,4,90,0
350-9313,36,166.2,238.8,108.8,11.2,3,54,109,92,2,111,0
420-9009,23,262.2,157,129.1,7.3,1,101,80,100,14,101,0
415-2641,0,207.8,195.7,184.8,13.1,0,92,110,124,4,72,0
392-4929,35,245.4,148.2,274,7.5,1,89,102,136,6,67,0
346-5068,0,287.1,178.4,153.2,14.4,3,108,125,98,2,172,0
389-2631,32,192.3,165.3,205,9,2,82,134,74,1,154,0
368-3808,0,194.2,242.1,215.8,9.7,2,122,81,80,3,69,0
406-8599,0,211,217,214.8,9.8,3,92,102,104,7,123,0
386-7456,12,141.9,228.9,195.1,8.7,0,92,102,101,5,130,0
357-4936,26,220.5,239.5,254.3,5.9,2,94,126,109,9,142,0
397-7411,0,157.4,145,281.8,9.3,1,122,75,92,2,29,0
353-6218,28,143.5,223.5,175.4,11.2,0,106,147,69,5,87,0
369-5942,0,156,56,163.3,8.9,0,56,116,104,8,149,0
416-8543,0,160.1,208.4,177.6,9.2,2,63,112,98,3,146,1
358-4576,0,235.1,251.8,285.9,7.2,4,98,79,76,2,88,1
352-5118,15,160,209.5,82.3,8.7,5,95,110,107,5,119,1
408-2621,0,188.4,165.9,205.7,13.2,1,63,89,71,2,48,0
353-3994,0,194.8,235.3,174.4,11,1,97,118,126,3,135,0
367-4277,0,247.8,130,134.3,6.9,1,117,95,125,2,100,0
354-3237,0,221.2,213.6,291.8,11.9,4,80,104,89,3,98,0
394-8504,26,118.5,213.9,132.6,13.4,2,86,118,99,3,75,0
370-4139,33,231.8,232.9,206.9,7.6,1,78,79,121,4,180,0
382-6135,25,215.9,257.9,180.2,11.6,1,90,92,157,4,100,0
359-5718,35,217.1,220.8,249.5,8,2,92,134,93,5,119,0
385-3111,0,83.5,221.1,349.7,12.6,0,96,63,75,3,86,0
353-4880,39,183.3,205.1,263.7,5.1,1,106,101,90,7,155,0
343-7019,0,236.8,265.3,152.4,9.5,1,141,101,77,2,78,1
419-6133,0,193.8,195.3,182.7,8.5,1,90,121,108,3,153,0
350-7344,25,134,206,180.6,9.7,0,112,111,118,4,92,0
397-6064,25,176.6,172.7,104.5,11.3,2,65,96,128,5,13,0
363-6896,0,191.4,205.4,205.7,10.2,3,93,119,121,3,154,0
416-9021,35,174.8,219.6,255.8,12.8,0,127,93,90,3,144,1
408-3269,0,275.2,180.2,159,7.9,1,67,108,110,2,48,0
408-9463,0,174,241.1,207.8,7.9,1,85,114,94,1,94,0
340-7062,0,165,249.7,170.3,12.6,1,132,86,128,8,139,0
417-4309,0,228.7,168.7,223.5,11.8,1,102,99,100,4,126,0
421-2659,0,107.9,235.8,228.6,9.5,2,88,109,119,3,122,0
383-2017,0,221.3,157.8,192.5,11.3,1,140,89,89,6,139,0
411-6294,0,141.1,211.4,103.7,5.9,3,84,108,127,6,95,0
